Douglas Adams	Q42
P. G. Wodehouse	Q207515
Gordon R. Dickson	Q446941
Theresa Breslin	Q446747
Mary Wesley	Q446943
Jane Urquhart	Q446687
Le Ly Hayslip	Q446899
Jakob van Hoddis	Q76664
August Schleicher	Q76686
Hans-Hermann Hoppe	Q76688
Vítězslav Nezval	Q471184
Max Beerbohm	Q472071
Ed Lacy	Q471337
John Masefield	Q471413
Philippe Claudel	Q472613
Amit Chaudhuri	Q472352
Morris West	Q471021
Gustave Aimard	Q472068
Paul Féval	Q472568
Colm Tóibín	Q470758
Ameen Rihani	Q471451
Victor Erofeyev	Q472356
Miloš Crnjanski	Q31215
Henri Murger	Q31258
José Eduardo de Cárdenas	Q31047
Coenraad Jacob Temminck	Q31621
Guido van Rossum	Q30942
Pietro Coccoluto Ferrigni	Q31222
Sergei Yesenin	Q31628
Kristine Kathryn Rusch	Q446973
Gwen Bristow	Q447244
Nancy A. Collins	Q447284
Anne Wiazemsky	Q447507
Elinor Glyn	Q447240
Kaori Ekuni	Q447073
Tanya Huff	Q447025
Doeschka Meijsing	Q447190
Nevada Barr	Q447404
Sarah Zettel	Q448241
Malorie Blackman	Q447519
Anne Fine	Q448246
Mikhail Artsybashev	Q448143
Enid Bagnold	Q447630
E. D. E. N. Southworth	Q447019
Brigham Henry Roberts	Q447850
Daniel Alarcón	Q447902
L. Frank Baum	Q207544
Robert E. Howard	Q207640
Atsushi Nakajima	Q473538
James Weldon Johnson	Q478450
Tsutomu Mizukami	Q472921
Marcel Schwob	Q472697
Raymond Abrashkin	Q472734
Douglas Kennedy	Q473030
Miguel M. Abrahão	Q477210
Mary Hunter Austin	Q477999
Chinghiz Aitmatov	Q484292
Park So-hee	Q483089
Louis Amédée Achard	Q482162
Carl Zuckmayer	Q76820
Karl Mannheim	Q76823
Berthold Auerbach	Q76715
Edith Stein	Q76749
Athanasius Kircher	Q76738
Friedrich Kellner	Q76775
Max Stirner	Q76725
W. G. Sebald	Q76952
Hans Werner Richter	Q76950
Ernst Jünger	Q76727
Käte Bosse-Griffiths	Q76944
Wladimir Kaminer	Q76946
August Heinrich Hoffmann von Fallersleben	Q76938
Patricia Anthony	Q448545
Dodie Smith	Q449085
Clara Reeve	Q449489
Bernice Rubens	Q449028
Elizabeth Haydon	Q449542
Chie Shinohara	Q448707
Lisa See	Q448776
Yoko Ogawa	Q449473
Dominick Dunne	Q448767
Ruth Plumly Thompson	Q449234
Rhoda Broughton	Q449136
George R. Stewart	Q449279
Karin Slaughter	Q448425
Ann Petry	Q448736
Harry Harrison	Q489193
Craig Shaw Gardner	Q485772
Theodore Dreiser	Q486096
Andrea Levy	Q494257
Andre Dubus III	Q493123
Andre Dubus	Q493118
Ethan Hawke	Q484615
Frank Miller	Q207676
Joseph Heller	Q208101
Frank McCourt	Q208869
Nikolai Leskov	Q209004
John le Carré	Q209641
Alan Bradley	Q504317
Fred Saberhagen	Q497454
Tobias Wolff	Q495754
Robert Olen Butler	Q503497
David Benioff	Q503997
Martin Flavin	Q503483
Ted Chiang	Q503095
Louis Bromfield	Q500042
Robert Lewis Taylor	Q503557
Jeremy Leven	Q503907
Josh Bazell	Q504696
James Welch	Q504698
Anny Duperey	Q449640
Antonio Muñoz Molina	Q450335
John Varley	Q504805
Robert Zubrin	Q504677
Donald Hamilton	Q449797
Edwidge Danticat	Q450346
Julia Alvarez	Q450243
Yvonne Vera	Q450376
Hans Morgenthau	Q77161
Lothair III	Q77189
Moses Mendelssohn	Q76997
August von Haxthausen	Q77015
Edgar Hilsenrath	Q77037
Leopold von Ranke	Q77184
Christiane F.	Q76978
Sylvia Nasar	Q77008
Wilhelm Heinrich Riehl	Q77020
Lion Feuchtwanger	Q77024
Richard von Krafft-Ebing	Q77082
Handrij Zejler	Q77192
Andrew Holleran	Q505164
Robert Montgomery Bird	Q505715
Lawrence Block	Q505123
Len Deighton	Q505274
Michael Frayn	Q506231
Andrew Greeley	Q504923
Andrew Klavan	Q505702
Charles R. Jackson	Q505088
Wilkie Collins	Q210740
Eric Idle	Q210741
Ken Follett	Q210669
Friedrich Lorentz	Q77261
Alexander Kaufmann	Q77270
Andreas Gryphius	Q77214
Arto Paasilinna	Q211542
Jeppe Aakjær	Q211039
Edward O. Wilson	Q211029
Algernon Blackwood	Q507991
Lauren Brooke	Q508297
Andrew Robinson	Q506958
Nisio Isin	Q508218
Eric Ambler	Q508452
Andrew Motion	Q506410
David Malouf	Q506430
Charles Chesnutt	Q506757
Andrew Neiderman	Q506539
Ivan Klíma	Q506582
Andrew Vachss	Q508259
Helen Nielsen	Q508263
Wolfgang Schivelbusch	Q90813
Gert Ledig	Q91056
Wilhelm Hertz	Q91161
Karl Knortz	Q91151
Julius von Voss	Q90626
John of Hildesheim	Q91136
Elisabeth Bürstenbinder	Q90920
Karl Friedrich Kretschmann	Q90925
Wilhelm Lamszus	Q90980
Otloh of St. Emmeram	Q90628
Karl Ludwig Kannegiesser	Q90900
Günther Krupkat	Q77808
Dietrich Schwanitz	Q77862
Georg Weerth	Q78000
Alfred Meissner	Q77998
Lena Christ	Q77925
Wilhelm von Humboldt	Q77888
Katharina Hacker	Q77930
Kurt David	Q78247
Dieter Noll	Q78051
Michał Hórnik	Q77779
Helene Hegemann	Q77868
Ernst Hiemer	Q78073
Heinrich von dem Türlin	Q77924
Levin Schücking	Q78349
Hans-Ulrich Treichel	Q78386
Boy Lornsen	Q78174
Colson Whitehead	Q509662
Damon Galgut	Q510119
Jacques Rivière	Q508632
Dal Stivens	Q508728
Will Ferguson	Q508638
Carol Birch	Q509076
Paul Theroux	Q510320
André Lichtenberger	Q508533
August Derleth	Q509002
Francis Carco	Q510114
Sax Rohmer	Q510258
Carolyn Hennesy	Q441935
Del Martin	Q445893
Annika Thor	Q446678
Kate O'Brien	Q444315
Martina Haag	Q441247
Julia Nyberg	Q441950
Mansúra Izz ad-Dín	Q444168
Harvey Fierstein	Q446481
Silvester	Q442989
Fatos Lubonja	Q441615
Salarrue	Q443889
Blaga Dimitrova	Q446554
Julian Klaczko	Q446743
Angélica Liddell	Q442512
Stig Dagerman	Q442535
David Pinski	Q443970
Etel Adnan	Q440316
Cynthia McLeod	Q443374
Franca Rame	Q444509
Marsha Hunt	Q511948
John Hill	Q510400
Natalie Babbitt	Q514080
Anatoly Dneprov	Q513150
Jane Wells Webb Loudon	Q514667
Eliza Parsons	Q514950
Rosalind Belben	Q510341
Ntozake Shange	Q511742
Dorothy Koomson	Q513321
László Krasznahorkai	Q512062
Sharon Creech	Q510811
Judith Guest	Q513262
Victoria Hanley	Q513436
Richard Aldington	Q514998
Anne Cameron	Q515261
Suzan-Lori Parks	Q511432
Patrick Rothfuss	Q514546
Rachel Carson	Q100948
Billie Holiday	Q104358
Balduin Möllhausen	Q99917
Theodor Kirchhoff	Q1648602
Anna Langhoff	Q103929
Chris Colfer	Q211566
Heinrich Girard	Q99612
Julius von Hartmann	Q103589
Elisabeth von Heyking	Q99578
Eduard Stucken	Q99798
Sidney Poitier	Q104049
Gerd Brantenberg	Q448150
Elaine Morgan	Q449734
Alves Redol	Q448851
Ilmar Talve	Q450535
James Trefil	Q447567
James Fenton	Q449235
Louise Welsh	Q447658
Ella Wheeler Wilcox	Q448376
Sharman Macdonald	Q449569
Emilie Flygare-Carlén	Q450832
Margot Adler	Q448727
Charlotte Niese	Q74303
Heinrich Seidel	Q74585
Paul Eltzbacher	Q74664
Ignát Herrmann	Q74864
Giorgio Manganelli	Q74235
Hermann Allmers	Q74511
Meindert DeJong	Q74569
Heinrich von Maltzan, Baron zu Wartenburg und Penzlin	Q78419
Michael Peinkofer	Q74781
Abu al-Makarim	Q74095
Wilhelm Blos	Q78409
Karl Bernhardi	Q78411
Cory Doctorow	Q110436
Michael Grätzel	Q117008
Ferdinand Bruckner	Q112057
Thilo Irmisch	Q75001
Paul Pörtner	Q75221
Margareta Strömstedt	Q75066
Otto von Corvin	Q75265
Chris Columbus	Q75079
Rudolf Borchardt	Q75338
Justus Friedrich Wilhelm Zachariae	Q75169
Sophie Wörishöffer	Q75259
Karl Philipp Conz	Q75376
Ernst Ehlers	Q75089
Ferdinand Lindheimer	Q75237
Erin Gruwell	Q452818
John O'Hara	Q548345
André Baillon	Q548572
Tokuya Higashigawa	Q549145
Judith Krantz	Q452206
Sarah Vowell	Q452147
Murray Leinster	Q550449
Esther Friesner	Q548201
Chester Himes	Q550521
David Graham Phillips	Q548960
Igorʹ Jakovlevič Pomerancev	Q451825
Gail Anderson-Dargatz	Q548222
Patricia Kennealy-Morrison	Q519739
José Régio	Q364599
Pamela Wallace	Q516764
Eleanor Hallowell Abbott	Q519064
Jennifer Rardin	Q519969
Quan Deyu	Q365203
Andreas Martin Widmann	Q499437
Tomiko Miyao	Q515996
Janet Asimov	Q517435
Nagaru Tanigawa	Q519752
David Rabe	Q497375
Andreas Ludwig Jeitteles	Q498494
Andreas Krause Landt	Q498989
Andreas Pflüger	Q499958
Andreas Roloff	Q500274
David Markson	Q515363
Motojirō Kajii	Q519158
Joanna Murray-Smith	Q519827
William Harrison Ainsworth	Q518359
Józef Wittlin	Q364741
Kaui Hart Hemmings	Q518694
Joseph Samachson	Q518858
Eleanor Dark	Q517286
Toni Cade Bambara	Q518455
Jaclyn Moriarty	Q517809
Lisa McMann	Q519372
George Alec Effinger	Q550614
Roland Topor	Q550806
Robert B. Parker	Q550819
Joseph Hayes	Q550667
Friedrich Adler	Q85967
Kerstin Gier	Q86417
Michael Krüger	Q85931
Johann Matthias Schröckh	Q85716
Thomas Thiemeyer	Q86520
Julius Rodenberg	Q85793
Ernst Klee	Q86170
Lajos Hevesi	Q86534
Peter C. Newman	Q86203
Catharina Regina von Greiffenberg	Q86578
Hugo Bettauer	Q85728
Edith Hahn Beer	Q85970
Friedrich Gottlieb Dietrich	Q86320
Maxim Biller	Q86514
Ines Geipel	Q91448
Oskar Jerschke	Q91231
Jules Valles	Q551597
Jean Richepin	Q551744
Robert W. Wood	Q550926
Yōjirō Ishizaka	Q551499
Jiří Weil	Q551075
Henry Kuttner	Q551710
Jean-Pierre Claris de Florian	Q551740
Paul Scarron	Q551725
Hank Green	Q550996
Hubert Selby Jr.	Q551487
Jean-Christophe Grangé	Q551570
Hugo Claus	Q117783
Elizabeth Teissier	Q121865
John Erskine	Q552067
Christophe Honoré	Q551772
Colin Cotterill	Q552855
Niklas Rådström	Q553833
Lee Falk	Q554900
Sean Williams	Q552911
Roger Peyrefitte	Q551783
Albert Cossery	Q551779
Clark Ashton Smith	Q555298
Pierre Benoît	Q551767
Johnston McCulley	Q552372
William Hjortsberg	Q552955
Teru Miyamoto	Q554484
Ménie Muriel Dowie	Q554629
Nathan Myhrvold	Q365578
Stéphane Dion	Q366456
Joe Orton	Q368866
Ewen Montagu	Q366399
Elio Pagliarani	Q367779
Adolph L'Arronge	Q365448
Nic Balthazar	Q365750
Auguste Villiers de l'Isle-Adam	Q366285
G. P. Taylor	Q365697
Schack von Staffeldt	Q365558
Adolf Paul	Q75417
Sabatina James	Q88086
Moritz Gottlieb Saphir	Q87685
Karl Vocelka	Q87751
Phan Khôi	Q75404
Anna Kim	Q87925
Otfrid von Hanstein	Q88061
Fritz Reck-Malleczewen	Q75405
Miguel Ángel Asturias Rosales	Q75603
Bernard Wolfe	Q822793
Bernardo Guimarães	Q823003
Beth Goobie	Q831125
Bertha Harris	Q827708
Pierre Nord	Q821018
Tim LaHaye	Q558416
Fuminori Nakamura	Q556244
Raymond F. Jones	Q557512
John Arden	Q555621
Matt Ruff	Q558138
John D. MacDonald	Q558425
Douglas Reed	Q558052
Klaus Rifbjerg	Q555324
Israel Joshua Singer	Q557691
Nancy Friday	Q465011
Soner Yalçın	Q462728
Caryl Churchill	Q463574
Ole Sarvig	Q463701
Lise Nørgaard	Q463747
Fredrika Runeberg	Q465687
Amely Bölte	Q461906
Regīna Ezera	Q465552
Simone Ortega	Q463661
Rauni Magga Lukkari	Q464175
Jan Fridegård	Q464768
Gerda Antti	Q462485
Dora d'Istria	Q463521
Robert Neil Butler	Q465106
Massimo Cacciari	Q369756
Bjørn Sortland	Q370880
Janice Galloway	Q370851
Adrian Hyland	Q373150
Frank McGuinness	Q370940
Alan Davidson	Q373756
Adrian Mitchell	Q373566
Martin McDonagh	Q372394
Carl Zimmer	Q369116
Leif Panduro	Q371107
Ed McBain	Q369632
Gregory Stock	Q372400
Adrian Slywotzky	Q374227
David McCullough	Q374610
Thomas Crofton Croker	Q370589
Maureen Johnson	Q520723
Ole Edvart Rølvaag	Q523105
Jennifer Johnston	Q526219
Charlotte Dacre	Q521589
Christina Crawford	Q523816
André Theuriet	Q523039
Victoria Holmes	Q522277
Jeannie Gunn	Q524283
Kirsten Miller	Q526214
Winifred Holtby	Q523578
Richard A. Knaak	Q526744
Dirk Cussler	Q520135
Raymond Federman	Q520733
William Dean Howells	Q526709
Kathe Koja	Q521613
Dalia Sofer	Q525347
David Baddiel	Q526242
Sonora Webster Carver	Q521274
Radka Denemarková	Q523952
Allan W. Eckert	Q524567
Helen Maria Williams	Q525710
Joseph Staten	Q526555
Hase Seishū	Q844318
Hiroshi Mori	Q845622
Yuya Sato	Q842464
Caroline Elizabeth Sarah Norton	Q850141
Soji Shimada	Q835759
Toyoko Yamasaki	Q841464
Gakuto Coda	Q848530
Brian Azzarello	Q849595
Natsuhiko Kyōgoku	Q835766
Cherie Priest	Q843837
Tatsuzō Ishikawa	Q843830
William R. Forstchen	Q838661
Ōtarō Maijō	Q842534
Frank M. Robinson	Q843541
Tetsuya Ayukawa	Q842334
Ira Ishida	Q848865
Lars Norén	Q558837
Piers Anthony	Q559409
Richard Russo	Q558430
Adriano Aguzzi	Q375410
Phil Hellmuth	Q375966
David F. Breashears	Q376836
Anthony Powell	Q573813
Charles Klein	Q376398
Anthony McCarten	Q573610
Anthony Shaffer	Q573997
August Kitzberg	Q376410
Vitaliano Brancati	Q559565
Pierre Daninos	Q560315
Nicholas Monsarrat	Q559506
Hugh Lofting	Q560015
Mark Gatiss	Q560286
Bozorg Alavi	Q560371
Tommaso Landolfi	Q560541
Christopher Moore	Q861482
Kōtarō Isaka	Q854737
Catherynne M. Valente	Q859065
Charles Athanase Walckenaer	Q860169
Hikaru Sugii	Q860495
Isuna Hasekura	Q859960
Fred Mustard Stewart	Q852306
Camil Petrescu	Q857714
Kazuma Kamachi	Q858495
Ethan Canin	Q528593
Kafū Nagai	Q530588
Nalini Singh	Q529566
Rose Macaulay	Q528576
Catherine Webb	Q526761
William Trevor	Q528826
Linda Buckley-Archer	Q526894
Karen Chance	Q527538
Carlo Cassola	Q530655
Irving Bacheller	Q527302
Dick King-Smith	Q529399
Gabrielle Zevin	Q529735
Claire Messud	Q529082
Silvia Avallone	Q527679
Margaret Forster	Q527146
E. E. Knight	Q528656
Bernice Morgan	Q529991
Jacques Chardonne	Q699401
Jules Roy	Q699393
Connie Palmen	Q469283
Salvador de Madariaga	Q702468
Catherine Johnson	Q467766
Lynne Truss	Q469090
Lucyna Ćwierczakiewiczowa	Q468611
Danuta Wałęsa	Q468844
Jan Kjærstad	Q473196
Patrick Leigh Fermor	Q700616
Märta Tikkanen	Q465912
Jenny Downham	Q467295
Thorkild Bjørnvig	Q472825
Ramsey Campbell	Q703476
Vladimir Zazubrin	Q472628
Christopher Monckton, 3rd Viscount Monckton of Brenchley	Q473156
Louis Paul Boon	Q469627
Ali Smith	Q468523
Alfred Austin	Q575043
Alan Dean Foster	Q575345
Richard Llewellyn	Q561435
Chaim Potok	Q560735
Thomas Love Peacock	Q561408
Stefano Benni	Q561116
Anna Maria Hall	Q562000
Louis Hémon	Q561378
Frédéric Dard	Q561486
Oswald de Andrade	Q561169
José Emilio Pacheco	Q561833
Harold Brodkey	Q560733
Charles Maturin	Q561027
Mary Robinson	Q532255
P. H. Newby	Q531194
Harold Robbins	Q531563
Peter Mayle	Q531759
Kristin Hannah	Q533400
Steve Hamilton	Q533971
Robert Irwin	Q534258
George Robert Sims	Q531150
Susan Beth Pfeffer	Q531711
Louisa Anne Meredith	Q531358
Rachel Seiffert	Q532213
Beverley Naidoo	Q532757
Jim Webb	Q532279
Sarah Dessen	Q532336
Alice Borchardt	Q533287
Catherine Gore	Q531473
Edwin Abbott Abbott	Q531606
Chang-Rae Lee	Q533256
Diane Johnson	Q533343
Alma Routsong	Q531608
Sally Miller Gearhart	Q533778
Nanami Shiono	Q904686
Bradley Denton	Q897008
Robert Aickman	Q906193
Tatsuhiko Takimoto	Q907166
Dee Brown	Q903331
Hideo Levy	Q872066
Robert Holdstock	Q890980
Peter Matthiessen	Q892108
Paul C. Doherty	Q898322
Alexander Key	Q905100
Brad Meltzer	Q896846
Mamizu Arisawa	Q865684
Brad Leithauser	Q896817
Erle Cox	Q864327
Fergus Hume	Q866496
Boris Starling	Q893781
Otsuichi	Q906814
Booth Tarkington	Q893138
Bill Pronzini	Q862387
Louis Guilloux	Q862935
Peter Dickinson	Q705074
Yasuo Tanaka	Q706258
Erri De Luca	Q704294
Masuji Ibuse	Q705464
Philip Francis Nowlan	Q705999
David Garnett	Q704860
Leonard Sidney Woolf	Q703935
Ernest Vincent Wright	Q706718
David Almond	Q706856
Conn Iggulden	Q706794
Chris Van Allsburg	Q704553
Tsubouchi Shōyō	Q706196
Ronald Harwood	Q706668
John Gregory Dunne	Q705022
Houshang Golshiri	Q705827
Harry Bates	Q707333
Christopher Priest	Q707796
William Nicholson	Q706935
Owen King	Q707117
Paul Preuss	Q708198
Thomas M. Disch	Q708581
John Ringo	Q708157
Jerry Pournelle	Q578031
Michel Verne	Q580137
Julian Osgood Field	Q580937
Oscar Hijuelos	Q579475
F. Paul Wilson	Q584128
Tomoyoshi Murayama	Q575883
Takeo Arishima	Q577180
Léo Taxil	Q583065
Antoine Furetière	Q586211
Louise Mensch	Q583783
Elizabeth Madox Roberts	Q577565
Linda Sue Park	Q910538
Brett Halliday	Q910800
Brian Moore	Q912791
Don Winslow	Q908571
Helen Simpson	Q910123
Donald Allen Wollheim	Q908589
William S. Burroughs, Jr.	Q908648
Arsène Arnaud Claretie	Q912271
Brian Keene	Q912443
Keiichiro Hirano	Q910874
Brent Weeks	Q909874
Riichi Yokomitsu	Q908573
Brian Lumley	Q912602
René Barjavel	Q562556
Jerry Spinelli	Q563118
Anne Marsh-Caldwell	Q565581
Dipesh Chakrabarty	Q251282
Anne Isabella Thackeray Ritchie	Q565833
Anne Parrish	Q565684
Thomas Lodge	Q562652
Arthur Cheney Train	Q570122
Kwame Anthony Appiah	Q572741
Vicente Antonio García de la Huerta	Q251560
Ignacio Manuel Altamirano Basilio	Q572655
Inês Pedrosa	Q254884
Annie Hall Cudlip	Q566955
Budd Schulberg	Q562874
Jeff Rovin	Q571334
Ellery Queen	Q586362
David Weber	Q588653
Bruce Barrymore Halpenny	Q587332
Antoine de la Sale	Q587247
Guy Endore	Q586776
Damon Knight	Q534599
William Kent Krueger	Q534738
Theodore Illion	Q89798
MaryJanice Davidson	Q534455
Erik Simon	Q89902
Tricia Sullivan	Q534376
Chiyo Uno	Q535001
Laura Marholm	Q89768
Frank E. Peretti	Q534861
P. N. Elrod	Q535108
Sasha Sokolov	Q709534
Paul Gallico	Q709751
Gerald Murnane	Q710823
Arthur R.G. Solmssen	Q711558
Steve Erickson	Q711926
Yang Yi	Q711479
Qu You	Q710519
Arthur Laurents	Q710334
Rick Moody	Q709368
Sanmao	Q708679
Arthur S. Maxwell	Q711312
Chris Riddell	Q711830
John Bellairs	Q709295
Brian Herbert	Q711137
Lloyd Arthur Eshbach	Q710435
Arthur Bernède	Q708647
Shane Claiborne	Q268992
Jalu Kurek	Q261117
Antjie Krog	Q260604
Ann Coulter	Q266611
Emilio Carrere	Q266059
Karl August Nicander	Q267959
Daniil Kharms	Q266127
Manuel Gálvez	Q263683
Leonora Christina	Q262989
Brian Morton	Q912797
Felice Vinci	Q502068
Charlie Higson	Q917004
Brian Selznick	Q913061
Steven Saylor	Q918553
Geoffrey A. Landis	Q918443
Lanford Wilson	Q503635
Brion Gysin	Q917570
Andrejs Pumpurs	Q503166
Mike Resnick	Q913403
Sterling North	Q917010
Thomas King	Q712555
Frank Norris	Q712746
Yasushi Inoue	Q712734
Daniel Silva	Q712596
Juan José Saer	Q712518
Louis Adamic	Q713658
Louis de Bernières	Q712191
Daniel Clowes	Q712675
Jasper Fforde	Q713778
Terry Southern	Q591270
Koushun Takami	Q592895
Jim Grimsley	Q595717
Winston Graham	Q598029
Delos W. Lovelace	Q594731
Robert Nathan	Q592511
Shaun Tan	Q588933
Dave Eggers	Q589497
Mark Waid	Q594438
Sam Lipsyte	Q598494
Antônio Callado	Q601133
Jerome Bixby	Q590532
Edward Irenaeus Prime-Stevenson	Q595483
Lilith Saintcrow	Q598052
Edmund Clerihew Bentley	Q596925
Elizabeth Hand	Q601304
Athol Fugard	Q601307
Nadezhda Durova	Q270336
M. F. K. Fisher	Q272889
David Eddings	Q354888
Vita Andersen	Q273907
Giulio Angioni	Q354755
Lauren Child	Q272535
Helen Schucman	Q273262
Anna Brownell Jameson	Q274627
Amiri Baraka	Q354783
Elisaveta Bagriana	Q270584
Kirsten Holst	Q274673
Louis Pergaud	Q602468
Alice Cary	Q606543
Monteiro Lobato	Q606389
Richard Wormser	Q607503
William Lashner	Q606154
Stephen R. Lawhead	Q602510
Steven Raichlen	Q606656
Simon Louvish	Q607123
John Cornwell	Q713824
Shelby Foote	Q714250
Winston Churchill	Q715814
Stephen Coonts	Q715692
James Gunn	Q717015
Frank Riley	Q715256
Jack McDevitt	Q715241
Donald Antrim	Q714153
Walter Jon Williams	Q714485
Alfred Assolant	Q714712
Barry Unsworth	Q715796
Robert Albert Bloch	Q355879
Mark Haddon	Q356357
Tobias Smollett	Q356283
Rolf Kalmuczak	Q90459
Johann Wilhelm von Müller	Q90099
Hans Grimm	Q90323
Robert Schindel	Q90217
Fanny Parkes	Q377361
Edwin Percy Whipple	Q377651
Eugène Labiche	Q379929
Oskar Walzel	Q90520
Adrienne Kennedy	Q377490
Rudolf Greinz	Q90209
Benedict Wallet Vilakazi	Q379727
Hendrik Conscience	Q378133
Evdile Koçer	Q379851
Jules Sandeau	Q609039
William Monahan	Q611586
Jim C. Hines	Q611959
Kaari Utrio	Q613846
Karl Ove Knausgård	Q609317
Cecilia Dart-Thornton	Q610771
Claude Tillier	Q613164
Qiu Xiaolong	Q610522
Jonathan Raban	Q611828
Lynn Abbey	Q613259
Mike Carey	Q610567
Alexander Prokhanov	Q607825
James A. Owen	Q609457
Larry McMurtry	Q611672
Sakyo Komatsu	Q717936
Gary Paulsen	Q718463
Rashid Al-Daif	Q717878
Petar Kočić	Q715945
Nelson S. Bond	Q717071
Munro Leaf	Q717175
Kim Newman	Q717204
André Robert de Nerciat	Q718081
T. M. Aluko	Q718262
Jacques Poulin	Q717602
Kenneth E. Boulding	Q505520
Manuel Ugarte	Q507453
Andrew Davidson	Q504408
Sabine Dardenne	Q508951
Hazel Rowley	Q512169
Thomas Elyot	Q504016
Guy Kawasaki	Q507469
Richard A. Muller	Q513559
Michael Marrak	Q95321
Herman van Veen	Q503717
Andrej Čajkovskij	Q511168
Andrew Ross Sorkin	Q506972
Zalman Reisen	Q510338
Bill McKibben	Q503815
Andrew Bovell	Q503841
Iosif Utkin	Q504083
Rex Warner	Q505887
Iris Johansson	Q510423
Susanne Staun	Q512349
Susanna Alakoski	Q513640
Bernard-Marie Koltès	Q379934
Lew Wallace	Q357102
Troy Denning	Q356429
Erle Stanley Gardner	Q357065
Nevil Shute	Q356639
Jeffrey Eugenides	Q357108
Joseph Kessel	Q356537
Mori Ōgai	Q356960
Richard Brautigan	Q357114
Yasutaka Tsutsui	Q719250
Andrew Miller	Q720306
Robert Littell	Q718665
Mike Mullane	Q720182
Dan Abnett	Q720317
Bill Weld	Q720242
Jeffery Deaver	Q358188
Jonathan Stroud	Q358178
Thor Vilhjálmsson	Q357811
Howard Jacobson	Q357929
Walter M. Miller	Q357839
Malcolm Lowry	Q357120
Wilbur Smith	Q357970
Israel Gutman	Q388436
Sheikh Ghalib	Q389025
John Logan	Q384004
D. O. Fagunwa	Q382128
Daniel Pinchbeck	Q382460
Ahatanhel Krymsky	Q400122
Agustín Moreto y Cavana	Q399346
René Lévesque	Q381007
İbrahim Şinasi	Q390560
Agnar Mykle	Q394358
Simonas Daukantas	Q382666
Agnes Sligh Turnbull	Q394646
Gregory Benford	Q358312
Honoré d'Urfé	Q358491
Monique Truong	Q358615
Ara Darzi	Q336080
Terry Nation	Q628479
Bhikhu Parekh	Q335835
Kim Yu-jeong	Q624299
Sunand Tryambak Joshi	Q625272
Albert Espinosa	Q617215
Hitoma Iruma	Q616917
Arash Hejazi	Q626412
Patrick Quentin	Q616541
Lionel Shriver	Q622232
Meghnad Desai, Baron Desai	Q335848
Hideaki Sena	Q615960
Izuki Kogyoku	Q618886
Kim Nae-seong	Q625336
Edmond François Valentin About	Q361004
E. B. White	Q361617
Gene Wolfe	Q361149
Jonathan Safran Foer	Q359548
William Thomas Beckford	Q361026
Amos Tutuola	Q361562
D. B. Weiss	Q1151388
Sharyn McCrumb	Q1152905
Robert Lawson	Q1153256
Daniel Abraham	Q1159871
Dave Wolverton	Q1173398
Jay Lake	Q720669
Daniel Katz	Q1161320
David Simon	Q720435
James Grady	Q1166012
Tom Godwin	Q1171128
Matt Beaumont	Q1148376
Kazuo Dan	Q1159094
George Weller	Q1167088
Daniel Suarez	Q1162833
Pierre Souvestre	Q720370
Gardner Dozois	Q720562
Daniel F. Galouye	Q1160619
Cynthia Harnett	Q1148078
Yakup Kadri Karaosmanoğlu	Q1151724
Laila Lalami	Q1165426
Damien Broderick	Q1158494
Dany Laferrière	Q1165217
Dan Jurgens	Q1159091
Darcy Ribeiro	Q1165735
Dale Peck	Q1157861
Hans Vollmer	Q96122
Werner Keller	Q95765
Vilmos Kondor	Q546648
Emanuel Moravec	Q551104
Charlotte Kerner	Q96318
Ronald Fraser	Q548859
Füruzan	Q545504
Pere Miquel Carbonell	Q545716
Gülten Dayıoğlu	Q545905
Helen DeWitt	Q546374
George Combe	Q550136
Irena Karpa	Q550858
Karl Vollmöller	Q96028
Heinrich von Freiberg	Q96102
Annamarie Jagose	Q546569
Hasan Kikić	Q548147
Mark Crilley	Q550112
Fiona Kelly	Q546763
Erich Loest	Q96006
Joan Slonczewski	Q548156
Georg Friedrich Fickert	Q95745
Joan Grant	Q546461
Viveca Lärn	Q547466
Ahmet Şık	Q402020
Charles Sorel, sieur de Souvigny	Q633302
Kalle Päätalo	Q636923
John Green	Q630446
Ahmet Ümit	Q401998
Peter Abrahams	Q217069
George H. Scithers	Q628482
Gwenaëlle Aubry	Q634950
Willard Huntington Wright	Q630454
Jehan Rictus	Q630464
Ahmet Altan	Q401758
Ahmed Arif	Q401149
Arch Oboler	Q632079
John Ridley	Q362930
Alberto Fuguet	Q362638
Fredric Brown	Q363227
Jacques-Henri Bernardin de Saint-Pierre	Q361976
James A. Michener	Q361653
Mark Lawrence	Q641046
Peter Robinson	Q637306
Henri Béraud	Q640352
Lyonel Trouillot	Q637689
Erin Hunter	Q641740
Richard Powers	Q638179
Belva Plain	Q639041
Karl Edward Wagner	Q639360
William Kotzwinkle	Q639538
